Timestamp,Q1,Q2,Q3,Q4,N_CH,R_CH,S_CH,L_CH,C_CH,V_p,N_p,B_z,Dst
1999-09-12 00:30:00,0.0183,0.0019,0.0057,0.0034,0.0,0.0,3.8353,0.0,7.9903,426.0,6.010000228881836,-3.43452,-0.5
1999-09-12 00:54:00,0.0072,0.0034,0.0149,0.0027,0.0,0.0,3.8924,0.0,8.2808,425.0,6.010000228881836,-3.03224,1.0
1999-09-12 01:31:00,0.0366,0.6325,0.0183,2.2404,0.0,0.0,3.8387,0.0,8.1346,426.0,5.539999961853027,-2.3908,-1.0
1999-09-12 01:54:00,0.013,0.6222,0.0172,3.0506,0.0,0.0,4.1142,0.0,8.3917,430.0,5.619999885559082,-0.69152,-3.0
1999-09-12 02:06:00,0.0263,0.1366,0.0126,0.5093,0.0,0.0,4.3057,0.0,8.1832,430.0,5.619999885559082,-0.69152,-3.0
1999-09-12 02:30:00,0.0137,0.0065,0.0069,0.0164,0.0,0.0,4.0604,0.0,8.4699,424.0,8.829999923706055,-0.9716,-5.0
1999-09-12 03:30:00,0.0179,0.0114,0.0168,0.013,0.0,0.0,3.8689,0.0,7.8776,536.0,17.139999389648438,-0.21664000000000003,-6.5
1999-09-12 03:54:00,0.0214,0.0042,0.0172,0.0156,0.0,0.0,4.0067,0.0,7.2815,541.0,15.130000114440918,0.30752,-6.0
1999-09-12 04:30:00,0.0156,0.0042,0.0282,0.0069,0.0,0.0,3.8723,0.0,7.2033,525.0,10.220000267028809,5.3422,4.5
1999-09-12 05:30:00,0.0156,0.0107,0.0076,0.0118,0.0,0.0,4.0403,0.0,7.1013,524.0,10.6899995803833,1.9590833333333333,18.0
1999-09-12 05:54:00,0.0137,0.0118,0.008,0.0271,0.0,0.0,3.5766,0.0,5.9583,529.0,10.81999969482422,3.8444,21.0
1999-09-12 06:06:00,0.0118,0.0092,0.0076,0.0027,0.0,0.0,3.5766,0.0,5.9583,515.0,10.81999969482422,1.90348,21.0
1999-09-12 06:30:00,0.0229,0.0008,0.0084,0.0107,0.0,0.0,3.5228,0.0,6.2708,512.0,19.09000015258789,4.91608,22.0
1999-09-12 06:54:00,0.013,0.0042,0.016,0.0069,0.0,0.0,3.7177,0.0,6.3464,502.0,19.09000015258789,1.9505599999999998,23.0
1999-09-12 07:31:00,0.0206,0.0477,0.0095,0.0019,0.0,0.0,3.459,0.0,5.6293,494.0,18.43000030517578,1.76256,26.0
1999-09-12 07:54:00,0.0053,0.0042,0.0195,0.0195,0.0,0.0,3.5262,0.0,5.5815,488.0,25.0,-0.7422,29.0
1999-09-12 08:06:00,0.008,0.005,0.0217,0.0027,0.0,0.0,3.5531,0.0,5.9368,488.0,25.0,-0.7422,29.0
1999-09-12 08:30:00,0.0191,0.0008,0.0053,0.0095,0.0,0.0,3.6673,0.0,6.1964,480.0,22.5,-0.2672,27.5
1999-09-12 09:30:00,0.0397,0.0053,0.0137,0.0034,0.0,0.0,3.0827,0.0,5.4151,443.0,22.790000915527344,-9.66,15.0
1999-09-12 09:54:00,0.0244,0.0065,0.0336,0.0034,0.0,0.0,3.1364,0.0,5.3987,467.0,10.550000190734863,-7.120080000000001,4.0
1999-09-12 10:30:00,0.0252,0.0046,0.0214,0.0023,0.0,0.0,3.0289,0.0,5.5084,492.0,13.670000076293944,-5.11688,-15.0
1999-09-12 11:07:00,0.0069,0.0156,0.0053,0.0046,0.0,0.0,2.9785,0.0,5.9028,500.0,14.630000114440918,2.20884,-34.0
1999-09-12 11:30:00,0.0134,0.0027,0.0145,0.0072,0.0,0.0,3.0323,0.0,4.9577,487.0,14.630000114440918,3.15004,-37.0
1999-09-12 11:54:00,0.0107,0.0095,0.0092,0.0034,0.0,0.0,3.17,0.0,5.739,512.0,16.0,-1.29964,-40.0
1999-09-12 12:06:00,0.0378,0.0053,0.0103,0.0046,0.0,0.0,3.17,0.0,6.1668,512.0,16.0,-1.29964,-40.0
1999-09-12 12:30:00,0.0088,0.0008,0.0198,0.0031,0.0,0.0,3.0088,0.0,5.2368,486.0,12.779999732971191,-1.1992,-32.0
1999-09-12 12:54:00,0.0141,0.0076,0.0114,0.0042,0.0,0.0,2.8139,0.0,5.4195,486.0,12.779999732971191,0.5272,-24.0
1999-09-12 13:31:00,0.0092,0.0069,0.0122,0.0137,0.0,0.0,2.6997,0.0,5.119,526.0,9.399999618530272,4.4064,-19.0
1999-09-12 13:54:00,0.0237,0.0053,0.0187,0.0027,0.0,0.0,2.619,0.0,4.1732,525.0,12.75,8.256,-14.0
1999-09-12 14:06:00,0.0248,0.024,0.0114,0.008,0.0,0.0,2.535,0.0,3.9174,543.0,12.75,9.33516,-14.0
1999-09-12 14:30:00,0.0237,0.0069,0.0072,0.0072,0.0,0.0,2.3771,0.0,3.8468,547.0,13.140000343322754,7.31976,-16.0
1999-09-12 15:30:00,0.0217,0.0641,0.0084,0.0099,0.0,0.0,1.7891,0.0,4.2494,606.0,11.119999885559082,8.184,-16.0
1999-09-12 15:54:00,0.0191,0.0122,0.0099,0.0015,0.0,0.0,1.6211,0.0,3.7781,580.0,8.039999961853027,5.454160000000001,-14.0
1999-09-12 16:06:00,0.0141,0.0076,0.0111,0.0072,0.0,0.0,1.7891,0.0,4.4063,586.0,8.039999961853027,-1.45992,-14.0
1999-09-12 16:30:00,0.008,0.0023,0.0053,0.0027,0.0,0.0,2.0982,0.0,4.6565,588.0,7.420000076293945,-6.21124,-14.0
