Timestamp,Q1,Q2,Q3,Q4,N_CH,R_CH,S_CH,L_CH,C_CH,V_p,N_p,B_z,Dst
2015-06-12 00:12:00,0.0195,0.0076,0.0229,0.0046,0.0,0.0,4.7672,0.0,6.4752,482.0,4.019999980926514,-0.98128,-13.0
2015-06-12 00:24:00,0.0301,0.0118,0.0053,0.0057,0.0,0.0,4.7672,0.0,6.4752,476.0,,-1.09188,-11.5
2015-06-12 00:36:00,0.0107,0.0103,0.0118,0.0355,0.0,0.0,5.3692,0.0,6.547,476.0,,-1.09188,-11.5
2015-06-12 00:48:00,0.042,0.0298,0.0107,0.0587,0.0,0.0,5.3692,0.0,6.547,,,-2.0428,-10.0
2015-06-12 01:00:00,0.0153,0.0103,0.0042,0.0111,0.0,0.0,5.1443,0.0,6.4701,,,-2.0428,-10.0
2015-06-12 01:12:00,0.008,0.0095,0.0118,0.0179,0.0,0.0,4.4121,0.0,6.3552,,,-1.8563749999999999,-10.0
2015-06-12 01:24:00,0.0061,0.0191,0.0305,0.0118,0.0,0.0,4.4121,0.0,6.3552,,,-1.8563749999999999,-11.0
2015-06-12 01:36:00,0.0713,0.0076,0.0164,0.0156,0.0,0.0,4.4125,0.0,6.2508,,,-1.19728,-11.0
2015-06-12 02:00:00,0.0252,0.0111,0.0099,0.0217,0.0,0.0,4.8636,0.0,6.4283,,,-1.2558799999999999,-12.0
2015-06-12 02:12:00,0.0134,0.0195,0.0057,0.0107,0.0,0.0,4.8815,0.0,7.1398,,,-1.2558799999999999,-12.0
2015-06-12 02:24:00,0.0229,0.0092,0.0034,0.0141,0.0,0.0,4.8815,0.0,7.1398,,,-0.36347999999999997,-13.0
2015-06-12 02:36:00,0.0107,0.0122,0.0183,0.0072,0.0,0.0,4.7326,0.0,7.4371,,,-0.36347999999999997,-13.0
2015-06-12 02:48:00,0.0134,0.0126,0.0153,0.0107,0.0,0.0,4.7326,0.0,7.4371,,,-1.0227916666666668,-14.0
2015-06-12 03:12:00,0.0156,0.0263,0.0095,0.0149,0.0,0.0,4.8542,0.0,7.2143,,,-1.4175555555555555,-14.0
2015-06-12 03:24:00,0.0175,0.0099,0.0034,0.0206,0.0,0.0,4.8542,0.0,7.2143,,,-1.4175555555555555,-15.0
2015-06-12 04:05:00,0.0175,0.0229,0.0031,0.0263,0.0,0.0,5.0997,0.0,7.4642,,,0.150375,-16.0
2015-06-12 04:14:00,0.0118,0.0172,0.0088,0.0118,0.0,0.0,5.0075,0.0,7.8641,,,0.150375,-16.0
2015-06-12 04:24:00,0.0328,0.0172,0.0301,0.0118,0.0,0.0,5.0075,0.0,7.8641,,,1.59725,-16.0
2015-06-12 04:36:00,0.0042,0.0202,0.0072,0.0175,0.0551,0.0,5.8326,0.0,7.812,,,1.59725,-16.0
2015-06-12 04:48:00,0.0118,0.0267,0.0069,0.0137,0.0551,0.0,5.8326,0.0,7.812,,,0.3252083333333333,-16.0
2015-06-12 05:00:00,0.0122,0.0153,0.0084,0.013,0.1596,0.0,6.1124,0.0,7.9121,,,0.3252083333333333,-16.0
2015-06-12 05:12:00,0.0092,0.0122,0.0061,0.0031,1.2598,0.0,4.7701,0.0,7.8087,,,0.3252083333333333,-16.0
2015-06-12 05:24:00,0.008,0.0053,0.0198,0.0172,1.2598,0.0,4.7701,0.0,7.8087,,,-0.6029599999999999,-15.5
2015-06-12 05:36:00,0.0095,0.0114,0.0042,0.0095,1.8732,0.0,5.2035,0.0,8.3404,,,-0.6029599999999999,-15.5
2015-06-12 05:48:00,0.0065,0.0095,0.0031,0.0221,1.8732,0.0,5.2035,0.0,8.3404,452.0,5.75,-0.11823809523809524,-15.0
2015-06-12 06:12:00,0.0084,0.0092,0.0134,0.0092,1.8474,0.0,2.8752,0.0,7.5781,453.0,5.75,0.0861304347826087,-15.0
2015-06-12 06:24:00,0.0057,0.013,0.0076,0.0137,1.8474,0.0,2.8752,0.0,7.5781,453.0,5.929999828338623,0.0861304347826087,-15.0
2015-06-12 06:36:00,0.0076,0.0153,0.0103,0.0065,1.5026,0.0,3.1945,0.0,7.5553,453.0,5.929999828338623,0.022600000000000006,-15.0
2015-06-12 07:12:00,0.0229,0.0114,0.0179,0.0095,1.8551,0.0,4.8658,0.0,7.9533,453.0,5.789999961853027,-0.9960869565217392,-15.0
2015-06-12 07:24:00,0.0118,0.0233,0.0072,0.021,1.8551,0.0,4.8658,0.0,7.9533,453.0,5.789999961853027,-1.356818181818182,-13.5
2015-06-12 07:36:00,0.0084,0.0134,0.0122,0.0042,1.0338,0.0,2.9759,0.0,7.6324,453.0,5.789999961853027,-1.356818181818182,-13.5
2015-06-12 07:48:00,0.0107,0.0141,0.0156,0.0168,1.0338,0.0,2.9759,0.0,7.6324,453.0,5.440000057220459,-1.25568,-12.0
