Timestamp,Q1,Q2,Q3,Q4,N_CH,R_CH,S_CH,L_CH,C_CH,V_p,N_p,B_z,Dst
2015-03-07 00:12:00,0.0023,0.0061,0.0179,0.0061,19.0795,7.609,9.4891,8.0829,4.5187,556.0,6.49,5.089,-6.0
2015-03-07 00:24:00,0.0072,0.0034,0.0221,0.0027,19.0795,7.609,9.4891,8.0829,4.5187,568.0,8.04,4.7372,-7.0
2015-03-07 00:36:00,0.0027,0.0145,0.0183,0.0092,18.2411,7.5131,9.8235,7.9951,3.671,568.0,8.04,4.7372,-7.0
2015-03-07 00:48:00,0.0084,0.0107,0.0191,0.013,18.2411,7.5131,9.8235,7.9951,3.671,566.0,8.04,5.2496,-8.0
2015-03-07 01:25:00,0.0061,0.0134,0.0156,0.0031,18.5123,8.0403,9.4379,7.8248,4.8862,547.0,7.21,4.3449,-9.5
2015-03-07 01:36:00,0.0011,0.0076,0.0225,0.008,18.4116,7.8149,9.6268,8.1572,4.7981,539.0,7.21,-4.3488,-9.5
2015-03-07 01:48:00,0.0095,0.0034,0.0229,0.0126,18.4116,7.8149,9.6268,8.1572,4.7981,539.0,7.36,-4.3488,-11.0
2015-03-07 02:00:00,0.0107,0.008,0.0195,0.0088,18.5701,7.8681,9.3234,8.3918,4.7867,566.0,7.36,-0.9981,-11.0
2015-03-07 02:12:00,0.0008,0.0111,0.0237,0.0076,18.0122,7.7794,9.6629,8.2809,4.672,566.0,7.36,-0.9981,-11.0
2015-03-07 02:24:00,0.0011,0.0061,0.0256,0.0252,18.0122,7.7794,9.6629,8.2809,4.672,551.0,8.11,-2.5883,-11.5
2015-03-07 02:36:00,0.0107,0.0038,0.0275,0.0294,18.5875,8.0305,9.3496,8.2822,5.0508,551.0,8.11,-2.5883,-11.5
2015-03-07 02:48:00,0.0095,0.0107,0.0717,0.0027,18.5875,8.0305,9.3496,8.2822,5.0508,545.0,8.11,-0.5639,-12.0
2015-03-07 03:12:00,0.0195,0.0111,0.0347,0.0019,18.1033,7.9538,8.999,8.5156,5.0552,536.0,6.6,-1.9217,-12.0
2015-03-07 03:24:00,0.0153,0.0061,0.0153,0.0111,18.1033,7.9538,8.999,8.5156,5.0552,536.0,6.6,-1.9217,-14.5
2015-03-07 03:36:00,0.0053,0.0069,0.0237,0.0072,18.3685,7.9938,9.465,8.4386,4.9696,544.0,6.6,3.1766,-14.5
2015-03-07 03:48:00,0.0065,0.0065,0.0206,0.0126,18.3685,7.9938,9.465,8.4386,4.9696,544.0,8.63,3.1766,-17.0
2015-03-07 04:00:00,0.0042,0.0065,0.0221,0.0046,17.9093,7.8835,9.2846,8.5023,5.28,539.0,8.63,2.8218,-17.0
2015-03-07 04:12:00,0.0072,0.0065,0.0244,0.0141,17.8728,7.9368,8.6242,8.4565,5.2556,539.0,8.63,2.8218,-17.0
2015-03-07 04:24:00,0.0137,0.0076,0.0164,0.0092,17.8728,7.9368,8.6242,8.4565,5.2556,531.0,7.82,3.6111,-18.5
2015-03-07 04:36:00,0.0038,0.0053,0.0252,0.0027,17.8333,7.8534,9.0195,8.4429,4.861,531.0,7.82,3.6111,-18.5
2015-03-07 04:48:00,0.0141,0.0042,0.0107,0.0126,17.8333,7.8534,9.0195,8.4429,4.861,561.0,7.82,4.7971,-20.0
2015-03-07 05:00:00,0.005,0.008,0.0206,0.0046,17.9181,7.7833,8.7622,8.2517,4.6825,561.0,7.82,4.7971,-20.0
2015-03-07 05:12:00,0.0103,0.0076,0.0168,0.0034,18.2956,8.1478,8.6983,8.2402,4.6711,561.0,10.04,4.7971,-20.0
2015-03-07 05:24:00,0.0042,0.0103,0.0164,0.0122,18.2956,8.1478,8.6983,8.2402,4.6711,538.0,10.04,1.3843,-23.5
2015-03-07 05:36:00,0.0057,0.0065,0.0164,0.0088,17.7321,8.1051,8.5363,8.1131,4.5555,538.0,10.04,1.3843,-23.5
2015-03-07 05:48:00,0.005,0.0122,0.0332,0.0027,17.7321,8.1051,8.5363,8.1131,4.5555,506.0,11.4,-0.1016,-27.0
2015-03-07 06:00:00,0.0099,0.0061,0.0179,0.0023,17.4103,8.2583,8.2995,8.0768,4.7249,506.0,11.4,-0.1016,-27.0
2015-03-07 06:12:00,0.0015,0.0046,0.0202,0.0061,17.7475,7.9814,7.6158,7.9754,4.4913,510.0,11.4,3.3431,-27.0
2015-03-07 06:24:00,0.0034,0.0118,0.0202,0.0061,17.7475,7.9814,7.6158,7.9754,4.4913,510.0,8.38,3.3431,-27.0
2015-03-07 06:36:00,0.008,0.0088,0.0229,0.0019,17.7475,7.9814,7.6158,7.9754,4.4913,507.0,8.38,-3.622,-27.0
2015-03-07 06:48:00,0.0019,0.0072,0.0248,0.0076,17.7475,7.9814,7.6158,7.9754,4.4913,507.0,8.38,-3.622,-27.0
2015-03-07 07:00:00,0.0046,0.0061,0.024,0.0042,17.7475,7.9814,7.6158,7.9754,4.4913,533.0,8.38,-3.2773,-27.0
2015-03-07 07:12:00,0.0042,0.0114,0.0225,0.0065,17.3782,7.9094,7.9931,7.2755,3.7914,533.0,8.95,-3.2773,-27.0
2015-03-07 07:36:00,0.0088,0.0103,0.0198,0.0095,17.3782,7.9094,7.9931,7.2755,3.7914,555.0,8.95,-0.9458,-26.0
2015-03-07 07:48:00,0.0076,0.0092,0.042,0.0103,17.3782,7.9094,7.9931,7.2755,3.7914,543.0,6.82,-3.8117,-25.0
2015-03-07 08:00:00,0.0027,0.0046,0.0179,0.013,17.3782,7.9094,7.9931,7.2755,3.7914,543.0,6.82,-3.8117,-25.0
2015-03-07 08:12:00,0.0057,0.0076,0.0237,0.0149,17.5594,8.2823,6.3443,7.5943,4.0983,537.0,6.82,2.2995,-25.0
2015-03-07 08:24:00,0.0034,0.0027,0.0259,0.0053,17.5594,8.2823,6.3443,7.5943,4.0983,537.0,7.1,2.2995,-22.0
2015-03-07 08:36:00,0.0126,0.0092,0.0195,0.0076,17.9845,8.5014,5.8961,7.4004,4.0926,573.0,7.1,0.3294,-22.0
2015-03-07 08:48:00,0.0107,0.008,0.0202,0.0191,17.9845,8.5014,5.8961,7.4004,4.0926,573.0,7.1,0.3294,-19.0
2015-03-07 09:12:00,0.0008,0.0034,0.0137,0.0092,17.9528,8.7022,6.0173,7.4579,4.3901,531.0,6.59,1.1228,-19.0
2015-03-07 09:24:00,0.0072,0.0042,0.037,0.0126,17.9528,8.7022,6.0173,7.4579,4.3901,561.0,6.59,1.1841,-19.5
2015-03-07 09:36:00,0.0065,0.0072,0.0313,0.0069,17.4829,8.6619,5.788,7.5509,4.1963,561.0,6.59,1.1841,-19.5
2015-03-07 09:48:00,0.016,0.0107,0.0156,0.0034,17.4829,8.6619,5.788,7.5509,4.1963,564.0,7.07,-2.6517,-20.0
2015-03-07 10:00:00,0.0107,0.0076,0.0309,0.0084,17.3686,8.6932,5.9821,7.6953,4.5906,564.0,7.07,-2.6517,-20.0
2015-03-07 10:12:00,0.0057,0.0053,0.0206,0.0042,17.3279,8.6588,5.4307,7.5978,4.2407,564.0,7.07,-2.6517,-20.0
2015-03-07 10:24:00,0.0069,0.0103,0.0191,0.0042,17.3279,8.6588,5.4307,7.5978,4.2407,582.0,7.33,-1.3896,-22.0
2015-03-07 10:36:00,0.0092,0.0053,0.0183,0.0057,17.8255,8.8836,6.3209,7.8521,4.281,582.0,7.33,-1.3896,-22.0
2015-03-07 10:48:00,0.008,0.0118,0.0183,0.005,17.8255,8.8836,6.3209,7.8521,4.281,569.0,7.33,1.1106,-24.0
2015-03-07 11:00:00,0.0175,0.008,0.0172,0.0069,17.4071,8.9358,5.1165,7.9599,4.4111,569.0,7.33,1.1106,-24.0
2015-03-07 11:12:00,0.0042,0.0031,0.0149,0.0149,16.9206,8.7607,4.9565,7.8032,3.8704,595.0,6.38,-0.9624,-24.0
2015-03-07 11:24:00,0.0217,0.0065,0.0221,0.0027,16.9206,8.7607,4.9565,7.8032,3.8704,595.0,6.38,-0.9624,-23.0
2015-03-07 11:36:00,0.0031,0.0137,0.0351,0.0011,17.1844,8.917,4.1547,7.733,3.6155,597.0,6.38,-2.7024,-23.0
2015-03-07 11:48:00,0.0233,0.0107,0.0282,0.0004,17.1844,8.917,4.1547,7.733,3.6155,597.0,6.07,-2.7024,-22.0
2015-03-07 12:00:00,0.0069,0.0134,0.021,0.0149,16.7674,8.7563,4.423,7.741,3.365,585.0,6.07,-0.5068,-22.0
2015-03-07 12:12:00,0.0168,0.0038,0.0122,0.0107,16.9565,8.818,4.1674,7.8402,3.902,585.0,6.07,-0.5068,-22.0
2015-03-07 12:24:00,0.0088,0.008,0.0378,0.0053,16.9565,8.818,4.1674,7.8402,3.902,587.0,7.83,-1.9394,-20.5
2015-03-07 12:36:00,0.0118,0.0046,0.0145,0.0069,17.0633,8.8656,4.4902,7.9462,4.1052,587.0,7.83,-1.9394,-20.5
2015-03-07 12:48:00,0.0034,0.0088,0.021,0.0267,17.0633,8.8656,4.4902,7.9462,4.1052,598.0,7.83,-3.4852,-19.0
2015-03-07 13:25:00,0.0038,0.0122,0.0221,0.0103,16.7638,8.5498,6.3964,7.9631,3.8195,596.0,8.25,-5.0855,-15.5
2015-03-07 13:36:00,0.0038,0.0072,0.0412,0.0034,17.2991,8.9529,6.1393,7.6505,3.8388,588.0,8.25,2.5761,-15.5
2015-03-07 13:48:00,0.0088,0.0206,0.0183,0.0069,17.2991,8.9529,6.1393,7.6505,3.8388,588.0,8.47,2.5761,-12.0
2015-03-07 14:00:00,0.0134,0.0126,0.0217,0.005,16.6971,8.5226,5.9542,7.4199,3.6989,596.0,8.47,3.0853,-12.0
2015-03-07 14:12:00,0.0057,0.0114,0.0198,0.0072,16.5753,8.6052,5.5839,7.3627,3.5975,596.0,8.47,3.0853,-12.0
2015-03-07 14:24:00,0.0061,0.005,0.0225,0.0027,16.5753,8.6052,5.5839,7.3627,3.5975,599.0,5.81,-2.1725,-11.5
2015-03-07 14:36:00,0.0057,0.0065,0.0179,0.0031,17.0715,8.1943,6.6185,7.2871,3.5931,599.0,5.81,-2.1725,-11.5
2015-03-07 15:12:00,0.0046,0.021,0.0263,0.0027,17.1467,8.199,6.1608,7.0672,4.3001,592.0,5.37,-2.7345,-11.0
2015-03-07 15:24:00,0.0042,0.0023,0.0164,0.0092,17.1467,8.199,6.1608,7.0672,4.3001,597.0,5.37,-2.6002,-11.5
2015-03-07 15:36:00,0.0072,0.0202,0.0248,0.0076,17.5424,8.6205,6.5406,7.246,4.7816,597.0,5.37,-2.6002,-11.5
2015-03-07 15:48:00,0.0092,0.0103,0.0221,0.0114,17.5424,8.6205,6.5406,7.246,4.7816,602.0,6.79,-0.7794,-12.0
2015-03-07 16:00:00,0.0072,0.0046,0.0141,0.008,16.9237,8.1307,5.4943,6.884,4.0831,602.0,6.79,-0.7794,-12.0
